Número de registro,Classe ,Ordem,Família,Espécie,Nome popular,Data de encontro,Horário,Tempo,Campus,Local de encontro,Ponto georeferencial,Latitude,Logitude,Hábitat,Microhabitat,Status do animal,Classe etária,Colaborador,@ do Instagram,Coletor,Destino,Como nos contatou?,Registrado por:,Foto ,Filme,Observações,,,,,,
LABEV 0489,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,Bacurau,23/01/2025,19:15,Noite,PCT ,Próximo ao portão 5,Portão 5,,,Aéreo,,Vivo,Adulto,João Oliveira,@jota.oli,-,-,Equipe ConViva,Douglas,Sim,Sim,-,-,,,,,
LABEV 0487,Mammalia,Rodentia,Caviidae,Hydrochoerus hydrochaeris ,Capivara,23/01/2025,18:30,Noite,PCT ,Próximo ao portão 5,Portão 5,,,Terrestre,,Vivo,Adulto,João Oliveira,@jota.oli,-,-,Equipe ConViva,Douglas,Não,Sim,-,-,,,,,
LABEV 0490,Mammalia,Cingulata,Dasypodidae,Dasypus novemcinctus,Tatu,28/01/2025,09:30,Ensolarado,PCT,Neap,Prédio de madeira ,,,Terrestre,,Morto,Adulto,Jesus - Segurança,-,Geo,Coleção didática,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0491,Reptilia ,Squamata,Viperidae ,Bothrops atrox,Jararaca,28/01/2025,10:30,Ensolarado,Profissional,Galpão da Paraiso,Prédio da Odontologia,,,Terrestre,,Vivo,Adulto,Davi - Rondante,-,André Nunes,,Whatsapp,Douglas,Sim,Sim,-,-,,,,,
LABEV 0492,Reptilia,Squamata,Boidae,Eunectes murinus,Sucuri,29/01/2025,13:35,Ensolarado,Profissional,Na frente do lab de engenharia civil ,Portão 3,,,Terrestre,,Morto,Juvenil,Thomaz Barros - Estudante de direito,@barrosthomaz_,Léo Abelem,Coleção didática,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0493,Mammalia,Rodentia,Caviidae,Hydrochoerus hydrochaeris ,Capivara,01/02/2025,08:45,Ensolarado,Profissional,Proximo ao RU Profissional,RU Profissional,,,Terrestre,,Morto,Adulto,Davi - Rondante,-,-,-,Kita,Douglas,Sim,Não,-,-,,,,,
LABEV 0496,Mammalia,Rodentia,Dasyproctidae,Dasyprocta leporina,Cutia,01/02/2025,18:45,Anoitecer,PCT,"Estrada do PCT, perto do portão 5",Portão 5,,,Terrestre,,Vivo,Adulto,Marceli Lima,@marceliblima,-,-,Equipe ConViva,Douglas,Não,Não,-,-,,,,,
LABEV 0554,Mammalia,Chiroptera,não idenficada,não idenficada,Morcego,01/02/2025,09:00,Ensolarado,Básico,Reitoria,Reitoria,,,Aéreo,,Vivo,Adulto,Luciano Montag,@miudo.montag,,Campus profissional da UFPA ,Trouxe ao LABEV,David e Mayssy,Não,Sim,,,,,,,
LABEV 0495,Reptilia,Squamata,Colubridae,Leptophis ahaetulla,Cobra-cipó,01/02/2025,17:30,Ensolarado,Básico,"Ao lado da ponte de ferro, defronte ao Vadião",Vadião,,,Terrestre,,Morto,Adulto,Prof. Gustavo Melo - Diretor de Capacitação da PROPESP,-,-,-,Gleomar,Douglas,Sim,Não,-,-,,,,,
LABEV 0494,Reptilia ,Squamata,Iguanidae ,Iguana iguana ,Iguana ,01/02/2025,17:30,Ensolarado,Básico,"Ao lado da ponte de ferro, defronte ao Vadião",Vadião,,,Terrestre e arborícola,,Morto,Adulto,Prof. Gustavo Melo - Diretor de Capacitação da PROPESP,-,-,-,Gleomar,Douglas,Sim,Não,-,-,,,,,
LABEV 0497,Reptilia ,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,04/02/2025,10:47,Ensolarado,Profissional,Corredor central próximo ao Ateliê da Faculdade de Artes Visuais.,Ateliê de Artes Visuais (prédio roxo),,,Terrestre e aquático,,Vivo,Adulto,Jéssica Mayra Gomes de Aguiar - Discente,@may_museart.404,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0498,Reptilia ,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,05/02/2025,16:15,Ensolarado,Básico,Entre o IFCH e ICEN,Rua da Reitoria,,,Terrestre e aquático,,Vivo,Adulto,Ana Balata - Mestrado,@acbalata,André Nunes,Beira do Rio,Equipe ConViva,Douglas,Sim,Sim,-,-,,,,,
LABEV 0500,Amphibia,Anura,Leptodactylidae,Leptodactylus labyrinthicus,Rã-pimenta,10/02/2025,11:00,Ensolarado,Profissional,Passarela da faculdade de farmácia,Faculdade de Farmácia,,,Terrestre,,Vivo,Adulto,Mariana Santos - Acadêmica de enfermagem,@mariisabella,André Nunes,UFPA - Soure,Cartaz do RU,Douglas,Sim,Sim,-,-,,,,,
LABEV 0499,Reptilia,Squamata,Viperidae ,Bothrops atrox,Jararaca,10/02/2025,11:00,Ensolarado,Profissional,Passarela da faculdade de farmácia,Faculdade de Farmácia,,,Terrestre,,Vivo,Adulto,Mariana Santos - Acadêmica de enfermagem,@mariisabella,André Nunes,UFPA - Soure,Cartaz do RU,Douglas,Sim,Sim,-,-,,,,,
LABEV 0501,Aves,Accipitriformes,Accipitridae,Rupornis magnirostris,Gavião-Carijó,11/02/2025,11:00,Ensolarado,Básico,Bloco H UFPA,RU Básico,,,Aéreo,,Vivo,Adulto,Carlos Michel - Terceirizado,-,Kaiky Rodrigues,Congelador LABEV,Gleomar,Douglas,Sim,Sim,"Foi trazido para o laboratório e seria encaminhado ao CETRAS, porém morreu por lesões internas, antes de ser encaminhado. Foi identificado e separado para taxidemia pela Dr. Gabriela Gonçalves e se encontrará congelado no freezer do LABEV até o dia do procedimento.",-,,,,,
LABEV 0508,Aves,Piciformes,Picidae,Colaptes melanochlorus,Pica-pau,11/02/2025,18:10,Ensolarado,Básico,Árvore entre a Maloca e o Veropesinho,Ver-o-pezinho,,,Terrestre e arborícola,,Vivo,Adulto,Lucas Oliveira,oluquinhass_,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0503,Mammalia,Rodentia,Caviidae,Hydrochoerus hydrochaeris ,Capivara,11/02/2025,13:45,Ensolarado,PCT,Neap,PCT,,,Terrestre,,Vivo,Juvenil,Dona Natália da limpeza,-,Marceli Lima,CETRAS,Kita,Douglas,Sim,Sim,Estava com os olhos inflamados,-,,,,,
LABEV 0502,Reptilia ,Squamata,Iguanidae ,Iguana iguana ,Iguana ,11/02/2025,11:50,Ensolarado,Básico,Corredor do instituto de educação matemática científica ,Portão 1,,,Terrestre e arborícola,,Vivo,Juvenil,Ana Júlia Tavares - Discente de Licenciatura Integrada,@_anamral,Ana Balata,Beira do Rio,Gleomar,Douglas,Sim,Sim,"Foi trazido para o laboratório, pôde ser atendido por Ana Balata, que fez a retiragem de vários carrapatos que o parasitavam, depois foi levado ao local de soltura.",-,,,,,
LABEV 0504,Reptilia ,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,11/02/2025,17:17,Ensolarado,Básico,CTIC,Reitoria,,,Terrestre e aquático,,Vivo,Adulto,Davi - Rondante,-,Ana Balata,Beira do Rio,Gleomar,Douglas,Sim,Sim,-,-,,,,,
LABEV 0507,Mammalia,Carnivora,Canidae,Cerdocyon thous,Raposa,12/02/2025,09:50,Ensolarado,PCT,No trecho entre a rotatória e a parada de ônibus do NEAP,NEAP,,,Terrestre,,Vivo,Adulto,Danielly Hashiguti - Professora,@danihashiguti,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0505,Reptilia,Squamata,Colubridae,Mastigodryas boddaerti,Cobra-cipó,12/02/2025,12:00,Ensolarado,Profissional,Restaurante Poema,Faculdade de Farmácia,,,Terrestre e arborícola,,Vivo,Adulto,Segurança não identificado,-,Ana Balata,Mata local,Gleomar,Douglas,Não,Não,-,-,,,,,
LABEV 0506,Reptilia,Squamata,Colubridae,Leptophis ahaetulla,Cobra-cipó,12/02/2025,12:00,Ensolarado,PCT,Ao lado do chalé de madeira do NEAP,NEAP,,,Terrestre e arborícola,,Vivo,Adulto,Danielly Hashiguti - Professora,@danihashiguti,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0509,Amphibia,Anura,Hylidae,Trachycephalus typhonius,Perereca,13/02/2025,16:10,Ensolarado,PCT,Ao lado do Centro de Estudos Avançados da Biodiversidade,CEABIO,,,Arborícola,,Vivo,Juvenil,Laiane Vaz - Discente,@kelren,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0510,Aves,Piciformes,Ramphastidae,Ramphastos tucanus,Tucano-de-papo-branco,13/02/2025,11:07,Ensolarado,Básico,Atrás do prédio anexo do ICB,ICB,,,Aéreo e arborícola,,Vivo,Adulto,Ronaldo Araujo - Discente,@ronaldo_junioorrr,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0511,Reptilia ,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,14/02/2025,11:17,Ensolarado,Profissional,Vala de drenagem - Faculdade de engenharia mecânica,Faculdade de engenharia mecânica,,,Terrestre e aquático,,Vivo,Adulto,Larissa Almeida - Discente,@azurelaris_,-,-,Instagram,Douglas,Não,Sim,-,-,,,,,
LABEV 0512,Mammalia,Carnivora,Procyonidae,Nasua nasua,Quati,19/02/2025,12:50,Ensolarado,Profissional,Bambuzal do bosquinho,Bosquinho,,,Terrestre e arborícola,,Vivo,Adulto,-,-,-,-,Kita,Douglas,Sim,Sim,-,-,,,,,
LABEV 0513,Aves,Gruiformes,Aramidae ,Aramus guarauna,Carão,20/02/2025,13:35,Ensolarado,Profissional,Perto do estacionamento próximo à faculdade de Eng Mecânica,Faculdade de engenharia mecânica,,,Aéreo,,Vivo,Adulto,João Oliveira,@jota.oli,-,-,Equipe ConViva,Douglas,Sim,Sim,-,-,,,,,
LABEV 0515,Reptilia ,Squamata,Iguanidae ,Iguana iguana ,Iguana ,20/02/2025,13:30,Ensolarado,Básico,Em frente ao banco do brasil ,Vadião,,,Terrestre e arborícola,,Vivo,Adulto,Segurança não identificado,-,Ana Balata,Beira do Rio,Veio até o LABEV nos chamar,Douglas,Sim,Sim,-,-,,,,,
LABEV 0516,Amphibia,Anura,Leptodactylidae,Leptodactylus labyrinthicus,Rã-pimenta,21/02/2025,21:40,Noite,Básico,Atrás da churrasqueira da terceira maloca do ICB,Prédio anexo do ICB,,,Terrestre e aquático,,Vivo,Adulto,Sol,@eusousol,-,-,Whatsapp,Douglas,Não,Sim,-,-,,,,,
LABEV 0517,Mammalia,Carnivora,Procyonidae,Nasua nasua,Quati,22/02/2025,13:45,Ensolarado,Profissional,Em frente ao Inst. de Física,Instituto de Física,,,Terrestre e arborícola,,Vivo,Adulto,Manuela Santos,@manuelav_santos,-,-,Instagram,Douglas,Sim,Sim,-,-,,,,,
LABEV 0518,Reptilia ,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,28/02/2025,08:50,Ensolarado,Profissional,Faculdade de engenharia mecânica,Faculdade de engenharia mecânica,,,Terrestre e aquático,,Vivo,Juvenil,Funcionário da Paraíso,-,-,-,Whatsapp,Douglas,Sim,Sim,Fugiu pelo ralo do banheiro,-,,,,,
LABEV 0520,Reptilia,Squamata,Boidae,Eunectes murinus,Sucuri,10/03/2025,14:00,Ensolarado,Profissional,Passarela ao lado do bosquinho,Bosquinho,,,Terrestre e aquático,,Vivo,Adulto,Segurança não identificado,-,Elisia Meneses,PCT,Whatsapp,Douglas,Sim,Sim,-,-,,,,,
LABEV 0521,Reptilia,Squamata,Colubridae,Mastigodryas boddaerti,Cobra-cipó,10/03/2025,14:50,Ensolarado,Profissional,Laboratório de Engenharia Mecânica: Laboratório de Vapor,Faculdade de engenharia mecânica,,,Terrestre e arborícola,,Vivo,Adulto,Thiago Pontes e Leonam Rodrigues,@thiago.pontes22 e @_leonam,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0519,Reptilia ,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,10/03/2025,09:25,Ensolarado,Básico,RU - Básico,RU - Básico,,,Terrestre e aquático,,Morto,Juvenil,Adrianne Pureza Maciel,-,Ana Balata,Coleção didática,Whatsapp,Douglas,Sim,Não,Encontrada esmagada no carregamento de abóboras,-,,,,,
LABEV 0522,Reptilia,Squamata,Colubridae,Helicops angulatus,Cobra d'água,13/03/2025,20:00,Noite,Profissional,Faculdade de Farmácia,Em frente ao Lab. de Fitoquímica,,,Terrestre e aquático,,Vivo,Adulto,Alexandre Dias - Discente,@xandre_dias,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0523,Reptilia,Squamata,Boidae,Eunectes murinus,Sucuri,14/03/2025,12:15,Ensolarado,Profissional,Perto do Neap,Neap,,,Terrestre e aquático,,Vivo,Adulto,Almeida - Segurança,-,-,-,Whatsapp,Douglas,Sim,Sim,-,-,,,,,
LABEV 0525,Mammalia,Pilosa,Bradypodidae,Bradypus variegatus,Preguiça,17/03/2025,10:25,Ensolarado,Profissional,Próximo ao portão 4,Portão 4,,,Arborícola,,Vivo,Adulto,Ana Balata,@acbalata,-,-,Whatsapp,Douglas,Sim,Sim,-,-,,,,,
LABEV 0524,Reptilia,Squamata,Colubridae,Mastigodryas boddaerti,Cobra-cipó,17/03/2025,09:30,Ensolarado,Profissional,Ru - Profissional,Portão - 3,,,Terrestre e aquático,,Vivo,Adulto,-,-,Ana Balata,PCT,Whatsapp,Douglas,Sim,Sim,-,-,,,,,
LABEV 0526,Reptilia,Squamata,Dipsadidae,Philodryas olfersii,Cobra-verde,17/03/2025,16:40,Nublado,Profissional,Engenharia naval,Engenharia Naval,,,Terrestre,,Vivo,Adulta,Rosimary Souza,-,-,-,Whatsapp,Hadrya,SIm,Não,Estava no chão,-,,,,,
LABEV 0527,Mammalia,Carnivora,Procyonidae,Nasua nasua,Quati,19/03/2025,16:17,Nublado,Básico,Segunda árvore do canteiro do NTPC,Próximo ao NTPC,,,Terrestre e arborícola,,Vivo,Adulto,Estudante não identificado,-,-,-,Whatsapp,Douglas,Não,Não,"Estava em uma árvore, cercado de cachorros, mas conseguiu fugir.",-,,,,,
LABEV 0514,Mammalia,Rodentia,Caviidae,Hydrochoerus hydrochaeris ,Capivara,20/03/2025,-,Ensolarado,Profissional,-,-,,,,,,,,,,,,,,,,,,,,,
LABEV 0528,Aves,Strigiformes,Strigidae,Megascops choliba,Corujinha-Do-Mato,21/03/2025,13:22,Ensolarado,Básico, Banheiro masculino bloco D,Próximo ao mirante,,,Aéreo,,Vivo,Juvenil,Estudante não identificado,-,-,-,Whatsapp,Hadrya,Sim,Não,-,-,,,LABEV 0527,LABEV 0527- Cobra-verde,17/03/2025
LABEV 0529,Reptilia,Squamata,Colubridae,Leptophis ahaetulla,Azulão-Boia,24/03/2025,15:30,Ensolarado,Profissional,Grade da porta da entrada,Fav,,,Terrestre e arborícola,,Vivo,Juvenil,Isa,-,-,-,Whatsapp,Hadrya,Sim,Não,-,-,,,LABEV 0529,LABEV 0529 - Cobra-cipó,26/03/2025
LABEV 0530,Aves,Passeriformes,Thraupidae,Sicalis flaveola,Canário-da-terra,26/03/2025,17:00,-,Básico,Garagem de ônibus,Macacario,,,Aéreo,,Vivo,Juvenil,Jéssica Leite,-,-,-,Moço do perfume,Hadrya,Sim,Não,-,-,,,LABEV 0530,LABEV 0530 - Azulão-Boia,24/03/2025
LABEV 0531,Reptilia,Squamata,Colubridae,Mastigodryas boddaerti,Cobra-cipó,26/03/2025,18:41,Nublada,Básico,Aos arredores do laborátorio de engenharia mecânica,Fav,,,Terrestre e arborícola,,Vivo,Adulto,Matheus,-,-,-,Whatsapp,Hadrya,Sim,Não,-,-,,,LABEV 0528,LABEV 0528 - Corujinha-Do-Mato,21/03/2025
LABEV 0532,Aves,Gruiformes,Aramidae ,Aramus guarauna,Carão,27/03/2025,17:30,Ensolarado,Básico,Margens do rio tucunduba,Ao lado da ponte básico-profissional,,,Aéreo,,Vivo,Adulto,Kaiky Rodrigues,@_kaiky.sj,-,-,Whatsapp,Hadrya,Sim,Não,Estavam forrageando em grupo (3 indivíduos),-,,,LABEV 0531,LABEV 0531 - Canário-da-terra,26/03/2025
LABEV 0534,Mammalia,Pilosa,Bradypodidae,Bradypus variegatus,Preguiça,27/03/2025,13:51,Ensolarado,Profissional,Árvore em frente ao Ceamazon,Perto do portão 4,,,Arborícola,,Vivo,Adulto,Marceli Lima,@marceliblima,-,-,Whatsapp,Hadrya,Sim,Sim,Foi atropelada,-,,,LABEV 0532,LABEV 0532 - Carão,27/03/2025
LABEV 0533,Reptilia,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,27/03/2025,09:30,Ensolarado,Básico,Atropelada na rua,Ao lado da ponte da reitoria,,,Terrestre e aquatica,,Morto,Adulta,Milton,-,-,-,Whatsapp,Hadrya,Sim,Não,-,,,,,,
LABEV 0535,Reptilia,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,28/03/2025,17:36,Noite,Básico,"Vala do ICB, entrada principal",ICB,,,Terrestre e aquatica,,Vivo,Adulto,Alana pimentel,alana.pimentel,-,-,Whatsapp,Hadrya,Não,Sim,-,-,,,LABEV 0533,LABEV 0533 - Preguiça,27/03/2025
LABEV 0536,Aves,Strigiformes,Strigidae,Megascops choliba,Corujinha-Do-Mato,03/04/2025,14:00,Ensolarado,Profissional,Proximo  ao  lab. de engenharia  civil,Lab de engenharia,,,Aéreo,,Vivo,Juvenil,Joel,@ogabrielcarvalhal @sterrs_ @dahyuniverse Registros de Fauna Silvestre da UFPA.xlsx,-,-,Whatsapp,Hadrya,Sim,Não,-,,,,LABEV 0534,LABEV 0534 - Cobra d'água,28/03/2025
LABEV 0537,Aves,Passeriformes,Fringillidae,Euphonia violacea,Gaturamo-verdadeiro,24/04/2025,11:09,Ensolarado,Básico,Em frente ao anexo do ICB,ICB,,,Aéreo,,Vivo,Juvenil,"Eduardo, da Empresa Paraíso",,-,Solto pelo ICB,Veio até o LABEV nos chamar,Kaiky,Sim,Sim,Estava caído em frente o anexo do ICB ,-,,,,,
LABEV 0544,Reptilia,Squamata,Iguanidae ,Iguana iguana ,Iguana,30/04/2025,10:23,Ensolarado,Profissional,-,-,,,,,,,,,,,,,,,,,,,,,
LABEV 0538,Mammalia,Rodentia,Erenthizontidae,Coendou longicaudatus,Ouriço-cacheiro,09/05/2025,20:03,Noite,Profissional,Terminal do Portão 3,Portão 3,,,Teerrestre,,Vivo,Adulto,Luan,@_luanrsousa_,-,,Whatsapp,Kaiky,,,Andando pelo terminal dos ônibus,,,,,,
LABEV 0539,Mammalia,Chiroptera,Molossidae,Desmodus rotundus,Morcego,13/05/2025,13:30,Ensolarado,Básico,Sala da reitoria: DIQUALE,Reitoria,,,Aéreo,,Vivo,Juvenil,Natan Luiz Mendes dos Santos,@natan.luiz53,-,-,Trouxe ao LABEV,Kaiky,,,Estava caído desnorteado dentro da sala,-,,,,,
LABEV 0543,Aves,Falconiformes,Falconidae,Daptrius chimachima,Carcará-de-cabeça-amarela,22/05/2025,16:49,Nublado,PCT,Pousado em uma placa na rua à esquerda do Restô do Parque,Restô do Parque ,,,Aéreo,,Vivo,Adulto,Kaiky Rodrigues,@_kaiky.sj,-,-,Whatsapp,Kiaky,Sim,Não,Estavam realizando protocooperação com as capivaras,,,,,,
LABEV 0541,Mammalia,Rodentia,Caviidae,Hydrochoerus hydrochaeris ,Capivara,22/05/2025,15:40,Nublado,PCT,Vegetação em frente ao CEABIO,CEABIO,,,Semiaquático,,Vivos,Todos,Kaiky Rodrigues,@_kaiky.sj,-,-,Whatsapp,Kaiky,Sim,Sim,-,-,,,,,
LABEV 0542,Mammalia,Pilosa,Bradypodidae,Bradypus variegatus,Preguiça,22/05/2025,16:43,Nublado,PCT,"Em uma árvore, na rua à direita do laboratório de qualidade de leite",Laboratório de qualidade de leite,,,Arborícola,,Vivo,Adulto,Kaiky Rodrigues,@_kaiky.sj,-,-,Whatsapp,Kaiky,Não,Sim,Estava com um filhote,,,,,,
LABEV 0540,Reptilia,Squamata,Iguanidae ,Iguana iguana ,Iguana ,22/05/2025,11:00,Ensolarado,Profissional,Aos arredores do MATCAM - UFPA,MATCAM - UFPA,,,Terrestre e arborícola,,Vivo,Adulto,Arlene Cantão Costa,,Kaiky Rodrigues,Lado esquerdo da ponte amarela que separa Básico e Profissional,Whatsapp,Kaiky,Sim,Sim,Aparentemente desorientado,-,,,,,
LABEV 0545,Aves,Cathartiformes,Cathartidae,Cathartes sp.,Urubu,27/06/2025,17:00,Ensolarado,Básico,Macacário,ICB,,,Aéreo,,Vivo,Juvenil,,,,,Whatsapp,Douglas,Não,Sim,,,,,,,
LABEV 0546,Aves,Cuculiformes,Cuculidae,Guira guira,Anu-branco,27/06/2025,12:08,Ensolarado,Profissional,Ao lado do R.U do Profissional,-,,,Aéreo,,Vivo,Adulto,Carlos Favacho,@carlos.favacho1,,,Equipe conviva,Douglas,Não,Sim,,,,,,,
LABEV 0547,Reptilia,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra-d'água,27/06/2025,10:30,Ensolarado,Básico,Proximo ao Laboratorio de biologia estrutural e Lab. Virologia,ICB,,,Terrestre e aquático,,Vivo,Adulto,Marcus e Fernanda Farias (prof. Virologia),,,,Whatsapp,Douglas,Não,Sim,,,,,,,
LABEV 0548,Actinopterygii,Synbranchiformes,Synbranchidae,Synbranchus marmoratus,Mussum,01/07/2025,17:47,Nublado,Profissional,"Próximo ao prédio de mecânica, na direção do RU profissional",Depois do avião,,,Aquático,,Vivo,Adulto,Helena dos Santos Bezerra - graduanda,@sant_bz_,,,Whatsapp,Mayssy,Sim,Não,,,,,,,
LABEV 0549,Aves,Psittaciformes,Psittacidae,não idenficada,não idenficada,04/07/2025,13:00,Ensolarado,Profissional,Estrada que vai para a FAENF,Proximo a faculdade de enfermagem,,,Aéreo,,Vivo,Filhote,Ryan Brenner Correa Pinheiro,@ryan_b.c_pinheiro,Marceli,CETRAS UFRA,Trouxe ao LABEV,Mayssy,Sim,Não,Alunos pegaram do ninho que caiu no chão,,,,,,
LABEV 0550,Mammalia,Carnivora,Canidae,Cerdocyon thous,Raposa,15/07/2025,18:09,Ensolarado,Profissional,Parque Científico e Tecnólogico,Próximo da caixa d'agua,,,Terrestre,,Vivo,Adulto,Walber,nao possui,,,Whatsapp,Mayssy,Sim,Não,,,,,,,
LABEV 0551,Reptilia,Squamata,Aniliidae,Anilius scytale,Cobra cega,24/07/2025,10:06,Ensolarado,Profissional,NEAP/UFPA,Próximo ao PCT Guamá,,,Terrestre e aquático,,Vivo,Adulto,Clauce Moura,@claummesquita,,,Whatsapp,Mayssy,Não,Sim,,,,,,,
LABEV 0552,Aves,Gruiformes,Rallidae,Laterallus exilis,Sanã-Do-Capim,25/07/2025,08:30,Ensolarado,Básico,Em frente ao CEBN,Reitoria,,,Aéreo,,Vivo,Adulto,Pedro Leão,@nego_off00,,,Whatsapp,Mayssy,Não,Sim,,,,,,,
LABEV 0553,Aves,Accipitriformes,Accipitridae,Rupornis magnirostris,Gavião Carijó,31/07/2025,17:30,Nublado,Profissional,Atrás do NAEA,NAEA,,,Aéreo,,Vivo,Adulto,Halicia Celeste,@haliciaceleste ,,,Whatsapp,Mayssy,Não,Sim,,,,,,,
LABEV 0558,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles minor,Bacurau-norte-americano,05/08/2025,10:33,-,Básico,Proximo ao Mirante,-,,,Aéreo,,Vivo,Adulto,Gustavo V. Melo,,,,Whatsapp,Arthur,Sim,Nâo,,,,,,,
LABEV 0555,Aves,Strigiformes,Strigidae,Megascops choliba,Corujinha-Do-Mato,11/08/2025,08:35,Ensolarado,Básico,Secretaria de História ,Na entrada do prédio ,,,Aéreo,,Vivo,Adulto,Milton Campus,-,-,-,Whatsapp,Mayssy,Sim,Não,,,,,,,
